143;2010-08-24;Portatil Acer 5740G;588;Alcampo 3 meses sin intereses; ; ; ; ; ;;
144;2010-09-02;Silla giratoria azul;60; ;upload/2015-04-11 10.25.10.png; ; ; ; ;;
145;2010-09-02;Silla giratoria Alo;50; ; ; ; ; ; ;;
146;2010-09-06;Armarios balcon 2;130;Alcampo;upload/ArmarioBalconaAlto.jpg; ; ; ; ;;
147;2010-09-06;Reposapies 2;70;Alcampo;upload/2015-04-11 10.30.13.png; ; ; ; ;;
148;2010-09-06;Movil LG GS290;14;27000 puntos + 14 €; ; ; ; ; ;;
149;2010-09-07;Libros 1 bachiller;230;El corte ingles; ; ; ; ; ;;
150;2010-09-07;Boda Jose-Nieves;75;Pluma 40. Abanico 35; ; ; ; ; ;;
151;2010-09-07;Bolso Gabol;20;Las maletas;upload/BolsoMachote.jpg; ; ; ; ;;
152;2010-09-09;Peugeot averia ;428;Anticontaminacion. Bateria . Fernandez; ; ; ; ; ;;
153;2010-09-22;Traje gris Juanjo;240; ; ; ; ; ; ;;
154;2010-09-25;Boda Jose-Nieves;250;Regalo de boda; ; ; ; ; ;;
155;2010-10-02;Megaupload;20; ; ; ; ; ; ;;
156;2010-11-05;Lavaplatos;229;Alcampo a tocateja;upload/compras_imgiPad de Juan Jose000033.jpg; ; ; ; ;;
157;2011-01-04;Guitarra electrica;135;Juan Mayas. www.atly.es. Atalaya;upload/GuitarraElectricaAlo.jpg; ; ; ; ;;
158;2011-01-14;Megaupload;20; ; ; ; ; ; ;;
159;2011-04-09;Viaje a Portugal Alo;360;200€ para gastos; ; ; ; ; ;;
160;2011-04-19;Tablet Archos 70b;139;El corte ingles. Pago a tres meses sin intereses;upload/01Archos.jpg; ; ; ; ;;
161;2011-04-20;Megaupload;20; ; ; ; ; ; ;;
162;2011-06-16;Montura gafas Josema;104;Se rompio la patilla-nariz de las anteriores; ; ; ; ; ;;
163;2011-06-22;Aglomerado wengue 16;23;Para patas camas dormi; ; ; ; ; ;;
164;2011-07-30;Vodafone Alo;0;@XS. 20€+IVA. 150 min al mes. Internet tarifa plana. Mensajes aparte. Permanencia 18 meses; ; ; ; ; ;;
165;2011-10-01;Peugeot averia;1135;Averia en la distribucion. Fernandez; ; ; ; ; ;;
166;2011-10-10;Disco duro WD3.5;79;Alcampo;upload/01HDD_WD.jpg; ; ; ; ;;
167;2012-01-07;Canon EOS D1100;499;El corte ingles;upload/CanonEOS1100D.jpg; ; ; ; ;;
168;2012-01-09;Faber-Castell;35; ;upload/2015-04-10 22.27.40.png;upload/2015-04-10 22.28.05.png; ; ; ;;
169;2012-01-09;Canon seguro;35;Seguro de reposicion; ; ; ; ; ;;
170;2012-01-14;Ipad 2 16Gb;479;El corte ingles;upload/Ipad.jpg; ; ; ; ;;
171;2012-01-14;Seguro ipad;58;Contra caidas; ; ; ; ; ;;
172;2012-01-14;Tapa ipad;39;El corte ingles;upload/TapaIpad.jpg; ; ; ; ;;
173;2012-06-19;Portatil Asus Josema;399; ; ; ; ; ; ;;
174;2012-07-01;Voxter Android TV 200;159;El corte ingles;upload/Voxter04.jpg;upload/WoxterTras.jpg;upload/VoxterMando02.jpg;upload/01WoxterTeclado.jpg; ;;
175;2012-07-05;Galaxy S3 Alo;500;El corte ingles;upload/SamsungGalaxyS3.jpg; ; ; ; ;;
176;2012-07-05;Galaxy S3 El papa;485;Vodafone; ; ; ; ; ;;
177;2012-07-05;Samsung mini Josema;100; ;upload/SamsungMini01.jpg; ; ; ; ;;
178;2012-08-17;Horno  Zanussi;0;El corte inglÃ‡Â¸s;upload/HornoZanussi.jpg; ; ; ; ;;
179;2012-08-17;Cocina Edesa Zen;0;El corte ingles;upload/01CocinaZanussi.jpg; ; ; ; ;;
180;2012-09-11;Aspirador automatico ;129;Aldi;upload/AspiradorPrimo.jpg; ; ; ; ;;
181;2012-10-19;Cafetera Solac Squissita Plus;127;El corte ingles;upload/CafeteraSolacSquissita.jpg; ; ; ; ;;
182;2012-10-25;Arduino;43; ;upload/ArduinoUNO.jpg;upload/ArduinoUNO02.jpg; ; ; ;;
183;2012-11-05;Impresora HP Deskjet 3070A;69;Wifi;upload/HP3070_05.jpg; ; ; ; ;;
